certificado de garantia de cobertura,data da inadimplencia,autorizacao da indenizacao,valor total da indenizacao,exportador,importador,beneficiario,pais,objeto da exportacao,financiador,modalidade de financiamento,natureza do risco,forma de pagamento do premio,data de aprovacao da operacao,instancia responsavel pela aprovacao,termo de quitacao,titulo de credito,termo de quitacao sei (valor da indenizacao),titulos de credito sei (valor da parcela),verificacao sei (nome),observacao,exportador_norm,importador_norm,beneficiario_norm,ano de inadimplencia,ano do contrato,objeto_categoria
630/2011,2020-12-06,,"usd 1.874.550,17",embraer s.a.,flybe leasing cayman 1 limited,banco nacional de desenvolvimento econômico e social - bndes,reino unido,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",financiado,26/05/2011 - 82ª ro,cofig/camex,,,,,,,embraer sa,cayman flybe leasing limited,banco bndes de desenvolvimento e economico nacional social,2020.0,2011.0,Aeronaves
602/2010,,,"usd 676.240,43",embraer s.a,"brasilmex leasing, llc",banco nacional de desenvolvimento econômico e social - bndes,méxico,11 aeronaves modelo emb 190lr,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",à vista,30/11/2010 - 76ª ro,cofig/camex,,,,,,,embraer sa,brasilmex leasing llc,banco bndes de desenvolvimento e economico nacional social,,2010.0,Aeronaves
602/2010,,,"usd 1.434.610,99",embraer s.a,"brasilmex leasing, llc",banco nacional de desenvolvimento econômico e social - bndes,méxico,12 aeronaves modelo emb 190lr,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",à vista,30/11/2010 - 76ª ro,cofig/camex,,,,,,,embraer sa,brasilmex leasing llc,banco bndes de desenvolvimento e economico nacional social,,2010.0,Aeronaves
566/2010,2023-03-09,,"usd 16.679.945,28",construtora andrade gutierrez s.a.,"petróleos de venezuela, s.a (pdvsa)",banco nacional de desenvolvimento econômico e social - bndes,venezuela,"bens e serviços destinados à construção do estaleiro del alba (astialba), na península de araya, no estado sucre, na república bolivariana da venezuela.",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,01/07/10 - 71ª ro,cofig/camex,,,,,,,andrade construtora gutierrez sa,de pdvsa petroleos sa venezuela,banco bndes de desenvolvimento e economico nacional social,2023.0,2010.0,Construção Civil
695/2012,2023-09-09,,"usd 5.252.471,95",embraer s.a.,conviasa - consorcio venezolano de indústrias aeronáuticas y servicios aéreos s.a.,banco nacional de desenvolvimento econômico e social - bndes,venezuela,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,à vista,30/01/2013 - 101ª ro,cofig/camex,,,,,,,embraer sa,aereos aeronauticas consorcio conviasa de industrias sa servicios venezolano y,banco bndes de desenvolvimento e economico nacional social,2023.0,2012.0,Aeronaves
555/2010,,,"usd 5.181.564,77",companhia de obras e infa-estrutura,zdim / almacenes universales s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,bens e serviços para a etapa ii das obras do porto de mariel,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),riscos políticos e extraordinários,"semestral, ao longo do período de amortização",10/05/2010 - 70ª ro,cofig/camex,,,,,,,companhia de e infaestrutura obras,almacenes sa universales zdim,banco bndes de desenvolvimento e economico nacional social,,2010.0,Construção Civil
697/2012,,,"usd 65.181,57",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,estrutura de passarelas e escadas de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,12/12/2012 - 100ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2012.0,Construção Civil
747/2014,,,"usd 194.598,58",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,30/04/2014 - 114ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2014.0,Construção Civil
602/2010,,,"usd 166.074,47",embraer s.a,"brasilmex leasing, llc",banco nacional de desenvolvimento econômico e social - bndes,méxico,12 aeronaves modelo emb 190lr,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",à vista,30/11/2010 - 76ª ro,cofig/camex,,,,,,,embraer sa,brasilmex leasing llc,banco bndes de desenvolvimento e economico nacional social,,2010.0,Aeronaves
630/2011,2020-12-06,,"usd 488.946,64",embraer s.a.,flybe leasing cayman 1 limited,banco nacional de desenvolvimento econômico e social - bndes,reino unido,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",financiado,26/05/2011 - 82ª ro,cofig/camex,,,,,,,embraer sa,cayman flybe leasing limited,banco bndes de desenvolvimento e economico nacional social,2020.0,2011.0,Aeronaves
699/2012,,,"usd 87.925,29",nb máquinas ltda.,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,"colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,12/12/2012 - 100ª ro,cofig/camex,,,,,,,maquinas nb,maquimport,banco bndes de desenvolvimento e economico nacional social,,2012.0,Agronegócio
747/2014,,,"usd 301.165,70",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,30/04/2014 - 114ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2014.0,Construção Civil
602/2010,,,"usd 387.200,51",embraer s.a,"brasilmex leasing, llc",banco nacional de desenvolvimento econômico e social - bndes,méxico,12 aeronaves modelo emb 190lr,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",à vista,30/11/2010 - 76ª ro,cofig/camex,,,,,,,embraer sa,brasilmex leasing llc,banco bndes de desenvolvimento e economico nacional social,,2010.0,Aeronaves
630/2011,2020-12-06,,"usd 490.710,90",embraer s.a.,flybe leasing cayman 1 limited,banco nacional de desenvolvimento econômico e social - bndes,reino unido,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",financiado,26/05/2011 - 82ª ro,cofig/camex,,,,,,,embraer sa,cayman flybe leasing limited,banco bndes de desenvolvimento e economico nacional social,2020.0,2011.0,Aeronaves
630/2011,2020-12-06,,"usd 1.859.812,70",embraer s.a.,flybe leasing cayman 1 limited,banco nacional de desenvolvimento econômico e social - bndes,reino unido,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",financiado,26/05/2011 - 82ª ro,cofig/camex,,,,,,,embraer sa,cayman flybe leasing limited,banco bndes de desenvolvimento e economico nacional social,2020.0,2011.0,Aeronaves
512/2009,,,"usd 3.661.958,37",companhia de obras e infraestrutura.,zdim / almacenes universales s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,obras de ampliação e modernização do porto de mariel,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,29/01/2010 - 66ª ro,cofig/camex,,,,,,,companhia de e infraestrutura obras,almacenes sa universales zdim,banco bndes de desenvolvimento e economico nacional social,,2009.0,Construção Civil
708/2013,,,"usd 7.119.453,97",companhia de obras e infraestrutura.,zona de desarrollo integral mariel s.a. - zdim,banco nacional de desenvolvimento econômico e social - bndes,cuba,"obras de ampliação e modernização do porto de mariel e de sua infraestrutura de acesso, na república de cuba.",banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme os desembolsos,17/06/2013,cofig/camex,,,,,,,companhia de e infraestrutura obras,de desarrollo integral mariel sa zdim zona,banco bndes de desenvolvimento e economico nacional social,,2013.0,Construção Civil
747/2014,,,"usd 124.478,24",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,30/04/2014 - 114ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2014.0,Construção Civil
771/2015,,,"usd 126.033,08",cnh latin america ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,colheitadeiras de cana,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,08/07/2015 - 126ª ro,cofig/camex,,,,,,,america cnh latin,transimport,banco bndes de desenvolvimento e economico nacional social,,2015.0,Agronegócio
630/2011,2020-12-06,,"usd 483.929,88",embraer s.a.,flybe leasing cayman 1 limited,banco nacional de desenvolvimento econômico e social - bndes,reino unido,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",financiado,26/05/2011 - 82ª ro,cofig/camex,,,,,,,embraer sa,cayman flybe leasing limited,banco bndes de desenvolvimento e economico nacional social,2020.0,2011.0,Aeronaves
695/2012,,,"usd 2.643.590,15",embraer s.a.,conviasa - consorcio venezolano de indústrias aeronáuticas y servicios aéreos s.a.,banco nacional de desenvolvimento econômico e social - bndes,venezuela,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,à vista,30/01/2013 - 101ª ro,cofig/camex,,,,,,,embraer sa,aereos aeronauticas consorcio conviasa de industrias sa servicios venezolano y,banco bndes de desenvolvimento e economico nacional social,,2012.0,Aeronaves
566/2010,2024-03-03,,"usd 16.118.582,05",construtora andrade gutierrez s.a.,"petróleos de venezuela, s.a (pdvsa)",banco nacional de desenvolvimento econômico e social - bndes,venezuela,"bens e serviços destinados à construção do estaleiro del alba (astialba), na península de araya, no estado sucre, na república bolivariana da venezuela.",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,01/07/10 - 71ª ro,cofig/camex,,,,,,,andrade construtora gutierrez sa,de pdvsa petroleos sa venezuela,banco bndes de desenvolvimento e economico nacional social,2024.0,2010.0,Construção Civil
748/2014,,,"usd 10.240.894,40",construtora queiroz galvão s.a.,"república de gana, representada pelo ministério das finanças",deutsche bank,gana,"bens e serviços de engenharia, construção do fly-over kasoa, a região de acra",deutsche bank,buyers credit (financiamento ao importador),riscos políticos e extraordinários,financiado,12/09/2014 - 118ª ro,cofig/camex,,,,,,,construtora galvao queiroz sa,das de financas gana ministerio pelo representada republica,bank deutsche,,2014.0,Construção Civil
404/2008,,,"usd 1.582.667,60",companhia de obras e infraestrutura.,transproy,banco nacional de desenvolvimento econômico e social - bndes,cuba,bens e serviços de engenharia,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,11/05/2008 - 49ª ro,cofig/camex,,,,,,,companhia de e infraestrutura obras,transproy,banco bndes de desenvolvimento e economico nacional social,,2008.0,Equipamentos
653/2011,,,"usd 5.191.269,56",companhia de obras e infraestrutura.,zona de desarrollo integral mariel s.a. - zdim,banco nacional de desenvolvimento econômico e social - bndes,cuba,"materiais, equipamentos e serviços destinados à obras",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,22/11/2011 - 88ª ro,cofig/camex,,,,,,,companhia de e infraestrutura obras,de desarrollo integral mariel sa zdim zona,banco bndes de desenvolvimento e economico nacional social,,2011.0,Construção Civil
771/2015,,,"usd 526.585,22",cnh latin america ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,colheitadeiras de cana,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,08/07/2015 - 126ª ro,cofig/camex,,,,,,,america cnh latin,transimport,banco bndes de desenvolvimento e economico nacional social,,2015.0,Agronegócio
