Certificado de Garantia de Cobertura,Data da inadimplência,Autorização da indenização,Valor total da indenização,Exportador,Importador,Beneficíario,País,Objeto da exportação,Financiador,Modalidade de financiamento,Natureza do risco,Forma de pagamento do prêmio,Data de aprovação da operação,Instância responsável pela aprovação,Termo de quitação,Título de crédito,Termo de quitação SEI (valor da indenização),Títulos de crédito SEI (valor da parcela),Verificação SEI (nome),Observação
700/2012,15/07/2023,09/10/2023,"USD 133.106,34",Nogueira Indústria e Comércio de Implementos e Máquinas Agrícolas S.A.,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Componentes para máquinas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,11/10/2012 - 99ª RO,Cofig/Camex,,,,,,
704/2013,15/07/2023,09/10/2023,"USD 194.107,91",Volvo do Brasil Veículos Ltda.,Construimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Escavadeiras, motoniveladoras e acessórios",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,14/02/2013 - 102ª RO,Cofig/Camex,,,,,,
771/2015,15/07/2023,09/10/2023,"USD 542.258,44",CNH Latin America Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,08/07/2015 - 126ª RO,Cofig/Camex,,,,,,
630/2011,12/06/2020,24/10/2023,"USD 507.878,50",Embraer S.A.,Flybe Leasing Cayman 1 Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Reino Unido,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,26/05/2011 - 82ª RO,Cofig/Camex,,,,,,
697/2012,15/08/2023,06/11/2023,"USD 31.333,68",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Estrutura de passarelas e escadas de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,12/12/2012 - 100ª RO,Cofig/Camex,,,,,,
699/2012,15/08/2023,06/11/2023,"USD 20.611,07",NB Máquinas Ltda.,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/12/2012 - 100ª RO,Cofig/Camex,,,,,,
740/2014,15/08/2023,06/11/2023,"USD 39.262,37",F.M. Coempar Comercial Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Peças de reposição para equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,29/01/2014 - 112ª RO,Cofig/Camex,,,,,,
747/2014,15/08/2023,06/11/2023,"USD 104.833,53",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,30/04/2014 - 114ª RO,Cofig/Camex,,,,,,
630/2011,12/06/2020,10/11/2023,"USD 1.924.283,37",Embraer S.A.,Flybe Leasing Cayman 1 Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Reino Unido,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,26/05/2011 - 82ª RO,Cofig/Camex,,,,,,
602/2010,27/11/2020,27/11/2023,"USD 5.133.143,68",Embraer S.A,"BrasilMex Leasing, LLC",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,México,11 aeronaves modelo EMB 190LR,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",À vista,30/11/2010 - 76ª RO,Cofig/Camex,,,,,,
630/2011,12/06/2020,30/11/2023,"USD 499.906,95",Embraer S.A.,Flybe Leasing Cayman 1 Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Reino Unido,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,26/05/2011 - 82ª RO,Cofig/Camex,,,,,,
602/2010,27/11/2020,30/11/2023,"USD 64.340,62",Embraer S.A,"BrasilMex Leasing, LLC",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,México,11 aeronaves modelo EMB 190LR,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",À vista,30/11/2010 - 76ª RO,Cofig/Camex,,,,,,
555/2010,15/09/2023,08/12/2023,"USD 5.280.079,79",Companhia de Obras e Infa-Estrutura,ZDIM / Almacenes Universales S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Bens e serviços para a etapa II das obras do Porto de Mariel,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,"Semestral, ao longo do período de amortização",10/05/2010 - 70ª RO,Cofig/Camex,,,,,,
689/2012,15/09/2023,08/12/2023,"USD 4.648,52",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,06/09/2012 - 98ª RO,Cofig/Camex,,,,,,
697/2012,15/09/2023,08/12/2023,"USD 66.417,61",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Estrutura de passarelas e escadas de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,12/12/2012 - 100ª RO,Cofig/Camex,,,,,,
747/2014,15/09/2023,08/12/2023,"USD 197.763,90",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,30/04/2014 - 114ª RO,Cofig/Camex,,,,,,
419/2008,15/10/2023,28/12/2023,"USD 25.676,32",Maubertec Empreendimentos e Construções Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Elementos para montagem de estruturas e edifições,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,13/10/2008 - 51ª RO,Cofig/Camex,,,,,,
699/2012,15/10/2023,28/12/2023,"USD 89.573,86",NB Máquinas Ltda.,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/12/2012 - 100ª RO,Cofig/Camex,,,,,,
719/2013,15/10/2023,28/12/2023,"USD 577.599,23",CNH Latin America Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,02/07/2013 - 106ª RO,Cofig/Camex,,,,,,
747/2014,15/10/2023,28/12/2023,"USD 305.914,39",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,30/04/2014 - 114ª RO,Cofig/Camex,,,,,,
630/2011,12/06/2020,29/12/2023,"USD 503.535,78",Embraer S.A.,Flybe Leasing Cayman 1 Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Reino Unido,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,26/05/2011 - 82ª RO,Cofig/Camex,,,,,,
695/2012,11/05/2023,26/01/2024,"USD 9.398.671,33",Embraer S.A.,Conviasa - Consorcio Venezolano de Indústrias Aeronáuticas y Servicios Aéreos S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,À vista,30/01/2013 - 101ª RO,Cofig/Camex,,,,,,
565/2010,20/06/2023,26/01/2024,"USD 23.934.281,74",Construtora Andrade Gutierrez S.A.,"Empresa de Producción Social Siderúrgica Nacional, C.A.",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Projeto de construção da Usina Siderúrgica Nacional no Estado do Bolívar,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,01/07/2010 - 71ª RO,Cofig/Camex,,,,,,
512/2009,15/11/2023,05/02/2024,"USD 3.733.802,30",Companhia de Obras e Infraestrutura.,ZDIM / Almacenes Universales S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Obras de ampliação e modernização do porto de Mariel,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,29/01/2010 - 66ª RO,Cofig/Camex,,,,,,
719/2013,15/11/2023,05/02/2024,"USD 235.157,81",CNH Latin America Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,02/07/2013 - 106ª RO,Cofig/Camex,,,,,,
602/2010,27/11/2020,08/02/2024,"USD 613.448,77",Embraer S.A,"BrasilMex Leasing, LLC",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,México,11 aeronaves modelo EMB 190LR,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",À vista,30/11/2010 - 76ª RO,Cofig/Camex,,,,,,
565/2010,20/06/2023,08/02/2024,"USD 2.177.529,49",Construtora Andrade Gutierrez S.A.,"Empresa de Producción Social Siderúrgica Nacional, C.A.",Construtora Andrade Gutierrez S.A.,Venezuela,Projeto de construção da Usina Siderúrgica Nacional no Estado do Bolívar,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,01/07/2010 - 71ª RO,Cofig/Camex,,,,,,
630/2011,12/06/2020,15/02/2024,"USD 1.903.530,19",Embraer S.A.,Flybe Leasing Cayman 1 Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Reino Unido,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,26/05/2011 - 82ª RO,Cofig/Camex,,,,,,
602/2010,27/11/2020,23/02/2024,"USD 3.638.348,01",Embraer S.A,"BrasilMex Leasing, LLC",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,México,11 aeronaves modelo EMB 190LR,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",À vista,30/11/2010 - 76ª RO,Cofig/Camex,,,,,,
708/2013,15/12/2023,06/03/2024,"USD 7.224.423,49",Companhia de Obras e Infraestrutura.,Zona de Desarrollo Integral Mariel S.A. - ZDIM,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Obras de ampliação e modernização do Porto de Mariel e de sua infraestrutura de acesso, na República de Cuba.",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme os desembolsos,17/06/2013,Cofig/Camex,,,,,,
747/2014,15/12/2023,06/03/2024,"USD 126.637,92",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,30/04/2014 - 114ª RO,Cofig/Camex,,,,,,
771/2015,15/12/2023,06/03/2024,"USD 128.066,66",CNH Latin America Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,08/07/2015 - 126ª RO,Cofig/Camex,,,,,,
630/2011,12/06/2020,15/03/2024,"USD 493.999,61",Embraer S.A.,Flybe Leasing Cayman 1 Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Reino Unido,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,26/05/2011 - 82ª RO,Cofig/Camex,,,,,,
602/2010,27/11/2020,22/03/2024,"USD 217.103,67",Embraer S.A,"BrasilMex Leasing, LLC",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,México,11 aeronaves modelo EMB 190LR,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",À vista,30/11/2010 - 76ª RO,Cofig/Camex,,,,,,
630/2011,12/06/2020,05/04/2024,"USD 495.854,90",Embraer S.A.,Flybe Leasing Cayman 1 Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Reino Unido,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,26/05/2011 - 82ª RO,Cofig/Camex,,,,,,
602/2010,27/11/2020,05/04/2024,"USD 394.276,28",Embraer S.A,"BrasilMex Leasing, LLC",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,México,11 aeronaves modelo EMB 190LR,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",À vista,30/11/2010 - 76ª RO,Cofig/Camex,,,,,,
404/2008,15/01/2024,05/04/2024,"USD 1.622.284,68",Companhia de Obras e Infraestrutura.,Transproy,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Bens e serviços de engenharia ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,11/05/2008 - 49ª RO,Cofig/Camex,,,,,,
653/2011,15/01/2024,05/04/2024,"USD 5.286.155,05",Companhia de Obras e Infraestrutura.,Zona de Desarrollo Integral Mariel S.A. - ZDIM,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Materiais, equipamentos e serviços destinados à obras",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,22/11/2011 - 88ª RO,Cofig/Camex,,,,,,
700/2012,15/01/2024,05/04/2024,"USD 130.663,94",Nogueira Indústria e Comércio de Implementos e Máquinas Agrícolas S.A.,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Componentes para máquinas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,11/10/2012 - 99ª RO,Cofig/Camex,,,,,,
704/2013,15/01/2024,05/04/2024,"USD 190.556,35",Volvo do Brasil Veículos Ltda.,Construimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Escavadeiras, motoniveladoras e acessórios",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,14/02/2013 - 102ª RO,Cofig/Camex,,,,,,
771/2015,15/01/2023,05/04/2024,"USD 535.102,33",CNH Latin America Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,08/07/2015 - 126ª RO,Cofig/Camex,,,,,,
748/2014,29/12/2023,30/04/2024,"USD 8.203.914,34",Construtora Queiroz Galvão S.A.,"República de Gana, Representada pelo Ministério das Finanças",Deutsche Bank,Gana,"Bens e serviços de engenharia, Construção do Fly-over Kasoa, a região de Acra",Deutsche Bank,Buyer’s credit (Financiamento ao Importador),Riscos políticos e extraordinários,Financiado,12/09/2014 - 118ª RO,Cofig/Camex,,,,,,
697/2012,15/02/2023,08/05/2024,"USD 30.784,66",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Estrutura de passarelas e escadas de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,12/12/2012 - 100ª RO,Cofig/Camex,,,,,,
699/2012,15/02/2024,08/05/2024,"USD 20.250,27",NB Máquinas Ltda.,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/12/2012 - 100ª RO,Cofig/Camex,,,,,,
